user_id,signup_date,acquisition_channel,device
1,2024-02-12,Organic,Desktop
2,2024-09-27,Organic,Mobile
3,2024-04-28,Facebook Ads,Desktop
4,2024-03-23,Organic,Desktop
5,2024-01-16,Organic,Mobile
6,2024-01-16,Organic,Desktop
7,2024-01-06,Referral,Mobile
8,2024-06-30,Facebook Ads,Mobile
9,2024-03-23,Organic,Desktop
10,2024-04-20,Facebook Ads,Mobile
11,2024-01-02,Google Ads,Desktop
12,2024-11-11,Facebook Ads,Desktop
13,2024-06-09,Google Ads,Desktop
14,2024-01-22,Google Ads,Mobile
15,2024-01-19,Organic,Mobile
16,2024-01-19,Google Ads,Desktop
17,2024-02-02,Organic,Mobile
18,2024-03-07,Google Ads,Mobile
19,2024-02-20,Facebook Ads,Mobile
20,2024-01-31,Organic,Mobile
21,2024-03-26,Facebook Ads,Mobile
22,2024-01-14,Google Ads,Desktop
23,2024-02-01,Organic,Desktop
24,2024-02-11,Google Ads,Mobile
25,2024-02-24,Facebook Ads,Mobile
26,2024-05-18,Google Ads,Mobile
27,2024-01-21,Referral,Desktop
28,2024-03-05,Organic,Mobile
29,2024-03-21,Organic,Desktop
30,2024-01-05,Organic,Mobile
31,2024-03-25,Facebook Ads,Desktop
32,2024-01-17,Google Ads,Mobile
33,2024-01-07,Organic,Desktop
34,2024-09-24,Facebook Ads,Mobile
35,2024-10-30,Facebook Ads,Desktop
36,2024-05-28,Facebook Ads,Mobile
37,2024-02-02,Google Ads,Desktop
38,2024-01-10,Referral,Desktop
39,2024-04-13,Facebook Ads,Mobile
40,2024-02-22,Google Ads,Desktop
41,2024-01-12,Facebook Ads,Desktop
42,2024-03-02,Referral,Mobile
43,2024-01-04,Facebook Ads,Mobile
44,2024-08-04,Google Ads,Mobile
45,2024-01-27,Organic,Desktop
46,2024-04-07,Organic,Desktop
47,2024-02-03,Google Ads,Mobile
48,2024-03-07,Google Ads,Mobile
49,2024-03-12,Google Ads,Desktop
50,2024-01-19,Facebook Ads,Desktop
51,2024-11-10,Facebook Ads,Mobile
52,2024-05-14,Google Ads,Desktop
53,2024-09-09,Facebook Ads,Mobile
54,2024-07-21,Facebook Ads,Mobile
55,2024-03-22,Organic,Desktop
56,2024-08-17,Referral,Mobile
57,2024-01-09,Organic,Mobile
58,2024-01-20,Facebook Ads,Mobile
59,2024-01-05,Facebook Ads,Desktop
60,2024-02-05,Referral,Desktop
61,2024-02-14,Facebook Ads,Mobile
62,2024-01-29,Facebook Ads,Mobile
63,2024-06-07,Organic,Mobile
64,2024-02-09,Organic,Desktop
65,2024-01-30,Organic,Mobile
66,2024-03-11,Facebook Ads,Desktop
67,2024-01-14,Facebook Ads,Mobile
68,2024-05-25,Referral,Mobile
69,2024-01-07,Facebook Ads,Mobile
70,2025-01-25,Organic,Mobile
71,2024-05-13,Organic,Desktop
72,2024-01-20,Organic,Mobile
73,2024-01-01,Google Ads,Mobile
74,2024-06-01,Facebook Ads,Mobile
75,2024-04-20,Organic,Mobile
76,2024-04-27,Referral,Mobile
77,2024-05-12,Referral,Mobile
78,2024-01-07,Facebook Ads,Mobile
79,2024-02-09,Facebook Ads,Desktop
80,2024-01-12,Referral,Mobile
81,2024-06-27,Organic,Mobile
82,2024-03-28,Referral,Desktop
83,2024-02-06,Facebook Ads,Mobile
84,2024-01-06,Organic,Mobile
85,2024-02-03,Organic,Mobile
86,2024-02-05,Organic,Mobile
87,2024-04-27,Google Ads,Desktop
88,2024-04-01,Facebook Ads,Mobile
89,2024-07-15,Organic,Desktop
90,2024-02-27,Facebook Ads,Mobile
91,2024-01-12,Google Ads,Mobile
92,2024-04-22,Referral,Desktop
93,2024-05-08,Google Ads,Mobile
94,2024-03-15,Organic,Desktop
95,2024-05-12,Facebook Ads,Mobile
96,2024-03-02,Organic,Desktop
97,2024-03-07,Referral,Mobile
98,2024-02-20,Facebook Ads,Desktop
99,2024-01-03,Facebook Ads,Mobile
100,2024-01-11,Google Ads,Desktop
101,2024-01-03,Facebook Ads,Mobile
102,2024-04-01,Organic,Desktop
103,2024-02-03,Referral,Mobile
104,2024-03-04,Google Ads,Desktop
105,2024-08-02,Facebook Ads,Mobile
106,2024-01-26,Google Ads,Mobile
107,2024-02-17,Organic,Mobile
108,2024-05-06,Facebook Ads,Mobile
109,2024-01-24,Organic,Mobile
110,2024-01-08,Organic,Desktop
111,2024-01-31,Organic,Desktop
112,2024-01-16,Facebook Ads,Mobile
113,2024-08-26,Organic,Desktop
114,2024-05-28,Facebook Ads,Mobile
115,2024-03-31,Facebook Ads,Mobile
116,2024-07-03,Referral,Desktop
117,2024-05-26,Organic,Desktop
118,2024-01-19,Facebook Ads,Desktop
119,2024-07-19,Facebook Ads,Mobile
120,2024-03-10,Facebook Ads,Desktop
121,2024-05-28,Facebook Ads,Mobile
122,2024-07-22,Facebook Ads,Mobile
123,2024-02-04,Facebook Ads,Mobile
124,2024-01-11,Google Ads,Desktop
125,2024-01-24,Organic,Desktop
126,2024-02-20,Organic,Desktop
127,2024-06-02,Organic,Mobile
128,2024-06-26,Facebook Ads,Mobile
129,2024-01-01,Referral,Mobile
130,2024-03-05,Organic,Mobile
131,2024-02-18,Organic,Mobile
132,2024-01-23,Organic,Desktop
133,2024-01-12,Referral,Mobile
134,2024-02-07,Google Ads,Mobile
135,2024-09-14,Facebook Ads,Mobile
136,2024-02-05,Organic,Mobile
137,2024-03-06,Organic,Mobile
138,2024-04-19,Organic,Desktop
139,2024-02-10,Google Ads,Desktop
140,2024-11-17,Facebook Ads,Desktop
141,2024-10-22,Google Ads,Mobile
142,2024-01-27,Referral,Mobile
143,2024-03-02,Organic,Mobile
144,2024-02-02,Google Ads,Desktop
145,2024-01-31,Facebook Ads,Desktop
146,2024-01-04,Google Ads,Mobile
147,2024-03-25,Referral,Mobile
148,2024-03-03,Organic,Mobile
149,2024-01-05,Organic,Desktop
150,2024-01-30,Google Ads,Desktop
151,2024-08-02,Organic,Desktop
152,2024-01-25,Facebook Ads,Mobile
153,2024-01-15,Organic,Mobile
154,2024-03-01,Google Ads,Mobile
155,2025-01-16,Google Ads,Mobile
156,2024-01-25,Organic,Mobile
157,2024-04-10,Referral,Desktop
158,2024-05-09,Facebook Ads,Desktop
159,2024-01-25,Organic,Mobile
160,2024-04-27,Facebook Ads,Desktop
161,2024-02-11,Google Ads,Mobile
162,2024-03-31,Facebook Ads,Mobile
163,2024-03-31,Google Ads,Mobile
164,2024-03-10,Google Ads,Mobile
165,2024-01-09,Facebook Ads,Mobile
166,2024-06-11,Google Ads,Mobile
167,2024-02-04,Referral,Mobile
168,2024-01-19,Facebook Ads,Desktop
169,2024-01-04,Organic,Mobile
170,2024-03-21,Google Ads,Mobile
171,2024-04-11,Organic,Mobile
172,2024-01-02,Facebook Ads,Desktop
173,2024-03-05,Facebook Ads,Mobile
174,2024-01-24,Facebook Ads,Desktop
175,2024-04-03,Facebook Ads,Mobile
176,2024-01-18,Facebook Ads,Mobile
177,2024-04-15,Organic,Desktop
178,2024-02-14,Referral,Mobile
179,2024-09-05,Organic,Mobile
180,2024-01-14,Organic,Mobile
181,2024-02-07,Facebook Ads,Desktop
182,2024-01-11,Facebook Ads,Mobile
183,2024-08-20,Google Ads,Mobile
184,2024-07-07,Facebook Ads,Desktop
185,2024-01-27,Google Ads,Mobile
186,2024-04-07,Google Ads,Desktop
187,2024-06-01,Google Ads,Desktop
188,2024-03-13,Google Ads,Mobile
189,2024-03-08,Organic,Mobile
190,2024-01-25,Organic,Mobile
191,2024-01-09,Google Ads,Desktop
192,2024-07-23,Referral,Desktop
193,2024-07-26,Referral,Desktop
194,2024-03-31,Google Ads,Desktop
195,2024-02-07,Google Ads,Desktop
196,2024-02-08,Google Ads,Mobile
197,2024-04-26,Referral,Mobile
198,2024-07-23,Referral,Desktop
199,2024-07-15,Facebook Ads,Mobile
200,2024-05-16,Google Ads,Mobile
201,2024-04-02,Organic,Desktop
202,2024-01-08,Google Ads,Mobile
203,2024-01-16,Facebook Ads,Desktop
204,2024-07-24,Referral,Desktop
205,2024-03-24,Organic,Mobile
206,2024-01-01,Organic,Desktop
207,2024-01-10,Referral,Mobile
208,2024-04-08,Organic,Mobile
209,2024-01-01,Google Ads,Mobile
210,2024-01-16,Organic,Mobile
211,2024-03-12,Facebook Ads,Mobile
212,2024-04-15,Organic,Mobile
213,2024-04-04,Facebook Ads,Mobile
214,2024-01-23,Organic,Mobile
